"ID"	"GB_ACC"	"Gene.Title"	"Gene.Symbol"
"1556758_PM_at"	"1556758_PM_at"	"N27868"	"chromosome 10 open reading frame 18"	"C10orf18"
"218590_PM_at"	"218590_PM_at"	"NM_021830"	"chromosome 10 open reading frame 2"	"C10orf2"
"1552422_PM_at"	"1552422_PM_at"	"NM_145022"	"chromosome 10 open reading frame 25"	"C10orf25"
"202808_PM_at"	"202808_PM_at"	"AK000161"	"chromosome 10 open reading frame 26"	"C10orf26"
"1552887_PM_at"	"1552887_PM_at"	"NM_152710"	"chromosome 10 open reading frame 27"	"C10orf27"
"210455_PM_at"	"210455_PM_at"	"AF050198"	"chromosome 10 open reading frame 28"	"C10orf28"
"1560255_PM_at"	"1560255_PM_at"	"AK097813"	"chromosome 10 open reading frame 31"	"C10orf31"
"225334_PM_at"	"225334_PM_at"	"AI147621"	"chromosome 10 open reading frame 32"	"C10orf32"
"226313_PM_at"	"226313_PM_at"	"H49529"	"chromosome 10 open reading frame 35"	"C10orf35"
"226398_PM_s_at"	"226398_PM_s_at"	"AI804930"	"chromosome 10 open reading frame 4"	"C10orf4"
"1556648_PM_a_at"	"1556648_PM_a_at"	"BC038741"	"chromosome 10 open reading frame 40"	"C10orf40"
"228048_PM_at"	"228048_PM_at"	"AI302262"	"chromosome 10 open reading frame 41"	"C10orf41"
"1557881_PM_at"	"1557881_PM_at"	"BC033403"	"chromosome 10 open reading frame 44"	"C10orf44"
"225192_PM_at"	"225192_PM_at"	"AA044726"	"chromosome 10 open reading frame 46"	"C10orf46"
"229801_PM_at"	"229801_PM_at"	"AI640157"	"chromosome 10 open reading frame 47"	"C10orf47"
"1555051_PM_at"	"1555051_PM_at"	"BC028127"	"chromosome 10 open reading frame 53"	"C10orf53"
"225372_PM_at"	"225372_PM_at"	"AK024449"	"chromosome 10 open reading frame 54"	"C10orf54"
"1557531_PM_a_at"	"1557531_PM_a_at"	"AI912900"	"chromosome 10 open reading frame 55"	"C10orf55"
"218174_PM_s_at"	"218174_PM_s_at"	"NM_025125"	"chromosome 10 open reading frame 57"	"C10orf57"
"224435_PM_at"	"224435_PM_at"	"BC005871"	"chromosome 10 open reading frame 58"	"C10orf58"
"240235_PM_at"	"240235_PM_at"	"AA889586"	"chromosome 10 open reading frame 62"	"C10orf62"
"1553843_PM_at"	"1553843_PM_at"	"NM_153714"	"chromosome 10 open reading frame 67"	"C10orf67"
"220749_PM_at"	"220749_PM_at"	"NM_024688"	"chromosome 10 open reading frame 68"	"C10orf68"
"232456_PM_at"	"232456_PM_at"	"BG479806"	"chromosome 10 open reading frame 71"	"C10orf71"
"1553458_PM_at"	"1553458_PM_at"	"NM_144984"	"chromosome 10 open reading frame 72"	"C10orf72"
"232230_PM_at"	"232230_PM_at"	"AU151788"	"Chromosome 10 open reading frame 75"	"C10orf75"
"1568733_PM_at"	"1568733_PM_at"	"BC032118"	"chromosome 10 open reading frame 76"	"C10orf76"
"236027_PM_at"	"236027_PM_at"	"N23587"	"chromosome 10 open reading frame 78"	"C10orf78"
"220919_PM_s_at"	"220919_PM_s_at"	"NM_025145"	"chromosome 10 open reading frame 79"	"C10orf79"
"1554190_PM_s_at"	"1554190_PM_s_at"	"BC036365"	"chromosome 10 open reading frame 81"	"C10orf81"
"231609_PM_at"	"231609_PM_at"	"AW418674"	"chromosome 10 open reading frame 82"	"C10orf82"
"218390_PM_s_at"	"218390_PM_s_at"	"NM_022063"	"chromosome 10 open reading frame 84"	"C10orf84"
"236855_PM_at"	"236855_PM_at"	"R43204"	"chromosome 10 open reading frame 85"	"C10orf85"
"219240_PM_s_at"	"219240_PM_s_at"	"NM_024942"	"chromosome 10 open reading frame 88"	"C10orf88"
"1556200_PM_a_at"	"1556200_PM_a_at"	"BC021140"	"chromosome 10 open reading frame 90"	"C10orf90"
"1553880_PM_at"	"1553880_PM_at"	"NM_173541"	"chromosome 10 open reading frame 91"	"C10orf91"
"220539_PM_at"	"220539_PM_at"	"NM_017609"	"chromosome 10 open reading frame 92"	"C10orf92"
"1552964_PM_at"	"1552964_PM_at"	"NM_173572"	"chromosome 10 open reading frame 93"	"C10orf93"
"220152_PM_at"	"220152_PM_at"	"NM_024886"	"chromosome 10 open reading frame 95"	"C10orf95"
"1555443_PM_at"	"1555443_PM_at"	"BC044830"	"chromosome 10 open reading frame 96"	"C10orf96"
"227735_PM_s_at"	"227735_PM_s_at"	"AA553959"	"chromosome 10 open reading frame 99"	"C10orf99"
"218925_PM_s_at"	"218925_PM_s_at"	"NM_022761"	"chromosome 11 open reading frame 1"	"C11orf1"
"218213_PM_s_at"	"218213_PM_s_at"	"NM_014206"	"chromosome 11 open reading frame 10"	"C11orf10"
"220344_PM_at"	"220344_PM_at"	"NM_020643"	"chromosome 11 open reading frame 16"	"C11orf16"
"219953_PM_s_at"	"219953_PM_s_at"	"NM_020642"	"chromosome 11 open reading frame 17"	"C11orf17"
"220987_PM_s_at"	"220987_PM_s_at"	"NM_030952"	"chromosome 11 open reading frame 17 /// NUAK family, SNF1-like kinase, 2"	"C11orf17 /// NUAK2"
"217969_PM_at"	"217969_PM_at"	"NM_013265"	"chromosome 11 open reading frame 2"	"C11orf2"
"219883_PM_at"	"219883_PM_at"	"NM_016611"	"chromosome 11 open reading frame 20"	"C11orf20"
"1568978_PM_s_at"	"1568978_PM_s_at"	"BM547346"	"chromosome 11 open reading frame 21"	"C11orf21"
"218299_PM_at"	"218299_PM_at"	"NM_022338"	"chromosome 11 open reading frame 24"	"C11orf24"
"1569349_PM_at"	"1569349_PM_at"	"BG272041"	"chromosome 11 open reading frame 30"	"C11orf30"
"1557799_PM_at"	"1557799_PM_at"	"AF085883"	"chromosome 11 open reading frame 31"	"C11orf31"
"236050_PM_at"	"236050_PM_at"	"AI656897"	"chromosome 11 open reading frame 35"	"C11orf35"
"1564439_PM_a_at"	"1564439_PM_a_at"	"AK093421"	"chromosome 11 open reading frame 36"	"C11orf36"
"1553086_PM_at"	"1553086_PM_at"	"NM_144663"	"chromosome 11 open reading frame 40"	"C11orf40"
"214772_PM_at"	"214772_PM_at"	"H08993"	"chromosome 11 open reading frame 41"	"C11orf41"
"1553895_PM_at"	"1553895_PM_at"	"NM_173525"	"chromosome 11 open reading frame 42"	"C11orf42"
"1553417_PM_at"	"1553417_PM_at"	"NM_173580"	"chromosome 11 open reading frame 44"	"C11orf44"
"1553787_PM_at"	"1553787_PM_at"	"NM_145013"	"chromosome 11 open reading frame 45"	"C11orf45"
"226383_PM_at"	"226383_PM_at"	"AI652452"	"chromosome 11 open reading frame 46"	"C11orf46"
"221637_PM_s_at"	"221637_PM_s_at"	"BC001434"	"chromosome 11 open reading frame 48"	"C11orf48"
"203257_PM_s_at"	"203257_PM_s_at"	"NM_024113"	"chromosome 11 open reading frame 49"	"C11orf49"
"204218_PM_at"	"204218_PM_at"	"NM_014042"	"chromosome 11 open reading frame 51"	"C11orf51"
"238805_PM_at"	"238805_PM_at"	"AA991551"	"chromosome 11 open reading frame 52"	"C11orf52"
"1554188_PM_at"	"1554188_PM_at"	"BC039669"	"chromosome 11 open reading frame 53"	"C11orf53"
"1559623_PM_at"	"1559623_PM_at"	"CA446227"	"Chromosome 11 open reading frame 54"	"C11orf54"
"244557_PM_at"	"244557_PM_at"	"AA456148"	"Chromosome 11 open reading frame 55"	"C11orf55"
"1555803_PM_a_at"	"1555803_PM_a_at"	"BC030546"	"chromosome 11 open reading frame 57"	"C11orf57"
"1555364_PM_at"	"1555364_PM_at"	"AL136602"	"chromosome 11 open reading frame 58"	"C11orf58"
"223009_PM_at"	"223009_PM_at"	"BC001706"	"chromosome 11 open reading frame 59"	"C11orf59"
"221208_PM_s_at"	"221208_PM_s_at"	"NM_024631"	"chromosome 11 open reading frame 61"	"C11orf61"
"1555787_PM_at"	"1555787_PM_at"	"BC009820"	"chromosome 11 open reading frame 63"	"C11orf63"
"1554764_PM_a_at"	"1554764_PM_a_at"	"BC029583"	"chromosome 11 open reading frame 64"	"C11orf64"
"1552988_PM_at"	"1552988_PM_at"	"NM_152587"	"chromosome 11 open reading frame 65"	"C11orf65"
"235402_PM_at"	"235402_PM_at"	"AI866146"	"chromosome 11 open reading frame 66"	"C11orf66"
"220268_PM_at"	"220268_PM_at"	"NM_014040"	"chromosome 11 open reading frame 67"	"C11orf67"
"221534_PM_at"	"221534_PM_at"	"AF073483"	"chromosome 11 open reading frame 68"	"C11orf68"
"224463_PM_s_at"	"224463_PM_s_at"	"BC006128"	"chromosome 11 open reading frame 70"	"C11orf70"
"218789_PM_s_at"	"218789_PM_s_at"	"NM_019021"	"chromosome 11 open reading frame 71"	"C11orf71"
"1553438_PM_at"	"1553438_PM_at"	"NM_173578"	"chromosome 11 open reading frame 72"	"C11orf72"
"219979_PM_s_at"	"219979_PM_s_at"	"NM_016401"	"chromosome 11 open reading frame 73"	"C11orf73"
"228249_PM_at"	"228249_PM_at"	"AA535128"	"chromosome 11 open reading frame 74"	"C11orf74"
"219806_PM_s_at"	"219806_PM_s_at"	"NM_020179"	"chromosome 11 open reading frame 75"	"C11orf75"
"224139_PM_at"	"224139_PM_at"	"BC004224"	"chromosome 11 open reading frame 76"	"C11orf76"
"204922_PM_at"	"204922_PM_at"	"NM_024650"	"chromosome 11 open reading frame 80"	"C11orf80"
"228281_PM_at"	"228281_PM_at"	"BF343258"	"chromosome 11 open reading frame 82"	"C11orf82"
"229099_PM_at"	"229099_PM_at"	"AW051379"	"chromosome 11 open reading frame 83"	"C11orf83"
"227292_PM_at"	"227292_PM_at"	"AI866590"	"chromosome 11 open reading frame 84"	"C11orf84"
"231210_PM_at"	"231210_PM_at"	"AI688721"	"chromosome 11 open reading frame 85"	"C11orf85"
"233938_PM_at"	"233938_PM_at"	"AK026328"	"chromosome 11 open reading frame 86"	"C11orf86"
"1557180_PM_at"	"1557180_PM_at"	"AA633992"	"chromosome 11 open reading frame 87"	"C11orf87"
"1568606_PM_at"	"1568606_PM_at"	"BC039505"	"chromosome 11 open reading frame 88"	"C11orf88"
"204073_PM_s_at"	"204073_PM_s_at"	"NM_013279"	"chromosome 11 open reading frame 9"	"C11orf9"
"230956_PM_at"	"230956_PM_at"	"AI347581"	"chromosome 11 open reading frame 92"	"C11orf92"
"228338_PM_at"	"228338_PM_at"	"AA812993"	"chromosome 11 open reading frame 93"	"C11orf93"
"240029_PM_at"	"240029_PM_at"	"AA398616"	"chromosome 11 open reading frame 94"	"C11orf94"
"218641_PM_at"	"218641_PM_at"	"NM_023941"	"chromosome 11 open reading frame 95"	"C11orf95"
"218220_PM_at"	"218220_PM_at"	"NM_021640"	"chromosome 12 open reading frame 10"	"C12orf10"
"221652_PM_s_at"	"221652_PM_s_at"	"AF274950"	"chromosome 12 open reading frame 11"	"C12orf11"
"236968_PM_at"	"236968_PM_at"	"AI336864"	"chromosome 12 open reading frame 12"	"C12orf12"
"224759_PM_s_at"	"224759_PM_s_at"	"AK001731"	"chromosome 12 open reading frame 23"	"C12orf23"
"204521_PM_at"	"204521_PM_at"	"NM_013300"	"chromosome 12 open reading frame 24"	"C12orf24"
"229018_PM_at"	"229018_PM_at"	"AI310001"	"chromosome 12 open reading frame 26"	"C12orf26"
"1556267_PM_at"	"1556267_PM_at"	"AK057785"	"chromosome 12 open reading frame 28"	"C12orf28"
"213701_PM_at"	"213701_PM_at"	"AW299245"	"chromosome 12 open reading frame 29"	"C12orf29"
"225836_PM_s_at"	"225836_PM_s_at"	"AL528840"	"chromosome 12 open reading frame 32"	"C12orf32"
"1555040_PM_at"	"1555040_PM_at"	"BC028195"	"chromosome 12 open reading frame 33"	"C12orf33"
"226487_PM_at"	"226487_PM_at"	"BE551088"	"chromosome 12 open reading frame 34"	"C12orf34"
"218614_PM_at"	"218614_PM_at"	"NM_018169"	"chromosome 12 open reading frame 35"	"C12orf35"
"1553497_PM_at"	"1553497_PM_at"	"NM_152768"	"chromosome 12 open reading frame 37"	"C12orf37"
"221067_PM_s_at"	"221067_PM_s_at"	"NM_030572"	"chromosome 12 open reading frame 39"	"C12orf39"
"218374_PM_s_at"	"218374_PM_s_at"	"NM_020374"	"chromosome 12 open reading frame 4"	"C12orf4"
"1553424_PM_at"	"1553424_PM_at"	"NM_173599"	"chromosome 12 open reading frame 40"	"C12orf40"
"221821_PM_s_at"	"221821_PM_s_at"	"AK022732"	"chromosome 12 open reading frame 41"	"C12orf41"
"1561378_PM_at"	"1561378_PM_at"	"BC039352"	"chromosome 12 open reading frame 42"	"C12orf42"
"219022_PM_at"	"219022_PM_at"	"NM_022895"	"chromosome 12 open reading frame 43"	"C12orf43"
"218214_PM_at"	"218214_PM_at"	"NM_021934"	"chromosome 12 open reading frame 44"	"C12orf44"
"226349_PM_at"	"226349_PM_at"	"BE264828"	"chromosome 12 open reading frame 45"	"C12orf45"
"1553987_PM_at"	"1553987_PM_at"	"BC007973"	"chromosome 12 open reading frame 47"	"C12orf47"
"220060_PM_s_at"	"220060_PM_s_at"	"NM_017915"	"chromosome 12 open reading frame 48"	"C12orf48"
"218867_PM_s_at"	"218867_PM_s_at"	"NM_024738"	"chromosome 12 open reading frame 49"	"C12orf49"
"219099_PM_at"	"219099_PM_at"	"NM_020375"	"chromosome 12 open reading frame 5"	"C12orf5"
"238219_PM_at"	"238219_PM_at"	"AW340321"	"chromosome 12 open reading frame 50"	"C12orf50"
"1553821_PM_at"	"1553821_PM_at"	"NM_144983"	"chromosome 12 open reading frame 51"	"C12orf51"
"221777_PM_at"	"221777_PM_at"	"BE966197"	"chromosome 12 open reading frame 52"	"C12orf52"
"1553566_PM_at"	"1553566_PM_at"	"NM_153685"	"chromosome 12 open reading frame 53"	"C12orf53"
"237701_PM_at"	"237701_PM_at"	"AI424806"	"chromosome 12 open reading frame 54"	"C12orf54"
"1560426_PM_at"	"1560426_PM_at"	"AK056076"	"chromosome 12 open reading frame 55"	"C12orf55"
"236840_PM_at"	"236840_PM_at"	"AI522132"	"chromosome 12 open reading frame 56"	"C12orf56"
"224719_PM_s_at"	"224719_PM_s_at"	"BG339653"	"chromosome 12 open reading frame 57"	"C12orf57"
"236646_PM_at"	"236646_PM_at"	"BE301029"	"chromosome 12 open reading frame 59"	"C12orf59"
"229888_PM_at"	"229888_PM_at"	"AA861435"	"chromosome 12 open reading frame 60"	"C12orf60"
"1557312_PM_at"	"1557312_PM_at"	"BC038738"	"chromosome 12 open reading frame 61"	"C12orf61"
"225772_PM_s_at"	"225772_PM_s_at"	"BF203664"	"chromosome 12 open reading frame 62"	"C12orf62"
"1553746_PM_a_at"	"1553746_PM_a_at"	"NM_173591"	"chromosome 12 open reading frame 64"	"C12orf64"
"223476_PM_s_at"	"223476_PM_s_at"	"AW007238"	"chromosome 12 open reading frame 65"	"C12orf65"
"1554067_PM_at"	"1554067_PM_at"	"BC036246"	"chromosome 12 open reading frame 66"	"C12orf66"
"1553484_PM_at"	"1553484_PM_at"	"NM_144667"	"chromosome 12 open reading frame 67"	"C12orf67"
"229626_PM_at"	"229626_PM_at"	"AI971535"	"chromosome 12 open reading frame 68"	"C12orf68"
"237484_PM_at"	"237484_PM_at"	"BE501385"	"chromosome 12 open reading frame 69"	"C12orf69"
"1554582_PM_a_at"	"1554582_PM_a_at"	"BC039535"	"chromosome 12 open reading frame 72"	"C12orf72"
"226927_PM_at"	"226927_PM_at"	"AU144442"	"chromosome 12 open reading frame 73"	"C12orf73"
"1556514_PM_at"	"1556514_PM_at"	"BC043363"	"chromosome 12 open reading frame 74"	"C12orf74"
"225105_PM_at"	"225105_PM_at"	"BF969397"	"chromosome 12 open reading frame 75"	"C12orf75"
"1556299_PM_s_at"	"1556299_PM_s_at"	"BF516262"	"chromosome 12 open reading frame 76"	"C12orf76"
"239691_PM_at"	"239691_PM_at"	"BE675935"	"chromosome 12 open reading frame 77"	"C12orf77"
"214668_PM_at"	"214668_PM_at"	"BG532405"	"chromosome 13 open reading frame 1"	"C13orf1"
"218723_PM_s_at"	"218723_PM_s_at"	"NM_014059"	"chromosome 13 open reading frame 15"	"C13orf15"
"236853_PM_at"	"236853_PM_at"	"AW665078"	"chromosome 13 open reading frame 16"	"C13orf16"
"219471_PM_at"	"219471_PM_at"	"NM_025113"	"chromosome 13 open reading frame 18"	"C13orf18"
"218420_PM_s_at"	"218420_PM_s_at"	"NM_025138"	"chromosome 13 open reading frame 23"	"C13orf23"
"243884_PM_at"	"243884_PM_at"	"AI204541"	"chromosome 13 open reading frame 26"	"C13orf26"
"213346_PM_at"	"213346_PM_at"	"BE748563"	"chromosome 13 open reading frame 27"	"C13orf27"
"231405_PM_at"	"231405_PM_at"	"AI219896"	"chromosome 13 open reading frame 28"	"C13orf28"
"1556711_PM_at"	"1556711_PM_at"	"AK098238"	"chromosome 13 open reading frame 30"	"C13orf30"
"1553141_PM_at"	"1553141_PM_at"	"BC035749"	"chromosome 13 open reading frame 31"	"C13orf31"
"1565763_PM_at"	"1565763_PM_at"	"AA137014"	"Chromosome 13 open reading frame 33"	"C13orf33"
"219544_PM_at"	"219544_PM_at"	"NM_024808"	"chromosome 13 open reading frame 34"	"C13orf34"
"241672_PM_at"	"241672_PM_at"	"BG413606"	"chromosome 13 open reading frame 36"	"C13orf36"
"225578_PM_at"	"225578_PM_at"	"AI885466"	"chromosome 13 open reading frame 37"	"C13orf37"
"1570153_PM_at"	"1570153_PM_at"	"BC013944"	"chromosome 13 open reading frame 38"	"C13orf38"
"230331_PM_at"	"230331_PM_at"	"AI333373"	"chromosome 13 open reading frame 39"	"C13orf39"
"202562_PM_s_at"	"202562_PM_s_at"	"AL136658"	"chromosome 14 open reading frame 1"	"C14orf1"
"219757_PM_s_at"	"219757_PM_s_at"	"NM_017799"	"chromosome 14 open reading frame 101"	"C14orf101"
"221231_PM_s_at"	"221231_PM_s_at"	"NM_017970"	"chromosome 14 open reading frame 102"	"C14orf102"
"219166_PM_at"	"219166_PM_at"	"NM_018139"	"chromosome 14 open reading frame 104"	"C14orf104"
"1569434_PM_at"	"1569434_PM_at"	"BC028060"	"chromosome 14 open reading frame 105"	"C14orf105"
"206500_PM_s_at"	"206500_PM_s_at"	"NM_018353"	"chromosome 14 open reading frame 106"	"C14orf106"
"213246_PM_at"	"213246_PM_at"	"AI346504"	"chromosome 14 open reading frame 109"	"C14orf109"
"220536_PM_at"	"220536_PM_at"	"NM_018228"	"chromosome 14 open reading frame 115"	"C14orf115"
"219720_PM_s_at"	"219720_PM_s_at"	"NM_017972"	"chromosome 14 open reading frame 118"	"C14orf118"
"223060_PM_at"	"223060_PM_at"	"AF061731"	"chromosome 14 open reading frame 119"	"C14orf119"
"1553801_PM_a_at"	"1553801_PM_a_at"	"NM_080664"	"chromosome 14 open reading frame 126"	"C14orf126"
"228889_PM_at"	"228889_PM_at"	"BF223658"	"chromosome 14 open reading frame 128"	"C14orf128"
"223239_PM_at"	"223239_PM_at"	"BC004818"	"chromosome 14 open reading frame 129"	"C14orf129"
"218820_PM_at"	"218820_PM_at"	"NM_020215"	"chromosome 14 open reading frame 132"	"C14orf132"
"1568971_PM_at"	"1568971_PM_at"	"BE564868"	"chromosome 14 open reading frame 135"	"C14orf135"
"218940_PM_at"	"218940_PM_at"	"NM_024558"	"chromosome 14 open reading frame 138"	"C14orf138"
"219563_PM_at"	"219563_PM_at"	"NM_024633"	"chromosome 14 open reading frame 139"	"C14orf139"
"223273_PM_at"	"223273_PM_at"	"AF277185"	"chromosome 14 open reading frame 142"	"C14orf142"
"210525_PM_x_at"	"210525_PM_x_at"	"BC001787"	"chromosome 14 open reading frame 143"	"C14orf143"
"1557755_PM_at"	"1557755_PM_at"	"AW028337"	"chromosome 14 open reading frame 145"	"C14orf145"
"212460_PM_at"	"212460_PM_at"	"BE738425"	"chromosome 14 open reading frame 147"	"C14orf147"
"231566_PM_at"	"231566_PM_at"	"BE463834"	"chromosome 14 open reading frame 148"	"C14orf148"
"227699_PM_at"	"227699_PM_at"	"BF511003"	"chromosome 14 open reading frame 149"	"C14orf149"
"225948_PM_at"	"225948_PM_at"	"BF197057"	"chromosome 14 open reading frame 153"	"C14orf153"
"221434_PM_s_at"	"221434_PM_s_at"	"NM_031210"	"chromosome 14 open reading frame 156"	"C14orf156"
"1554039_PM_at"	"1554039_PM_at"	"BC009182"	"chromosome 14 open reading frame 159"	"C14orf159"
"220887_PM_at"	"220887_PM_at"	"NM_020181"	"chromosome 14 open reading frame 162"	"C14orf162"
"217768_PM_at"	"217768_PM_at"	"NM_016039"	"chromosome 14 open reading frame 166"	"C14orf166"
"233941_PM_at"	"233941_PM_at"	"AF111169"	"chromosome 14 open reading frame 166B"	"C14orf166B"
"224153_PM_s_at"	"224153_PM_s_at"	"AF116636"	"chromosome 14 open reading frame 167"	"C14orf167"
"219526_PM_at"	"219526_PM_at"	"NM_024644"	"chromosome 14 open reading frame 169"	"C14orf169"
"1557680_PM_at"	"1557680_PM_at"	"AA725584"	"chromosome 14 open reading frame 174"	"C14orf174"
"1558594_PM_at"	"1558594_PM_at"	"BQ649429"	"Chromosome 14 open reading frame 176"	"C14orf176"
"1564816_PM_at"	"1564816_PM_at"	"AK098842"	"chromosome 14 open reading frame 178"	"C14orf178"
"1568699_PM_at"	"1568699_PM_at"	"AW235031"	"chromosome 14 open reading frame 179"	"C14orf179"
"1558420_PM_at"	"1558420_PM_at"	"BC041103"	"chromosome 14 open reading frame 180"	"C14orf180"
"229054_PM_at"	"229054_PM_at"	"AI935766"	"chromosome 14 open reading frame 181"	"C14orf181"
"1569274_PM_at"	"1569274_PM_at"	"BC033249"	"Chromosome 14 open reading frame 182"	"C14orf182"
"1564785_PM_at"	"1564785_PM_at"	"AF390030"	"chromosome 14 open reading frame 183"	"C14orf183"
"1562396_PM_at"	"1562396_PM_at"	"AK091161"	"chromosome 14 open reading frame 184"	"C14orf184"
"202279_PM_at"	"202279_PM_at"	"NM_004894"	"chromosome 14 open reading frame 2"	"C14orf2"
"1555390_PM_at"	"1555390_PM_at"	"BC025332"	"chromosome 14 open reading frame 21"	"C14orf21"
"243061_PM_at"	"243061_PM_at"	"AI149986"	"chromosome 14 open reading frame 23"	"C14orf23"
"1562299_PM_at"	"1562299_PM_at"	"BC038110"	"chromosome 14 open reading frame 25"	"C14orf25"
"235369_PM_at"	"235369_PM_at"	"BF435952"	"chromosome 14 open reading frame 28"	"C14orf28"
"1555786_PM_s_at"	"1555786_PM_s_at"	"BC008034"	"chromosome 14 open reading frame 34"	"C14orf34"
"1557176_PM_a_at"	"1557176_PM_a_at"	"BU074567"	"chromosome 14 open reading frame 37"	"C14orf37"
"1561985_PM_at"	"1561985_PM_at"	"AL832219"	"chromosome 14 open reading frame 39"	"C14orf39"
"223474_PM_at"	"223474_PM_at"	"AI932310"	"chromosome 14 open reading frame 4"	"C14orf4"
"225980_PM_at"	"225980_PM_at"	"AV740879"	"chromosome 14 open reading frame 43"	"C14orf43"
"220173_PM_at"	"220173_PM_at"	"NM_025057"	"chromosome 14 open reading frame 45"	"C14orf45"
"1553053_PM_at"	"1553053_PM_at"	"NM_152777"	"chromosome 14 open reading frame 48"	"C14orf48"
"1553644_PM_at"	"1553644_PM_at"	"NM_152592"	"chromosome 14 open reading frame 49"	"C14orf49"
"237654_PM_at"	"237654_PM_at"	"AA400298"	"chromosome 14 open reading frame 50"	"C14orf50"
"237205_PM_at"	"237205_PM_at"	"AI650524"	"chromosome 14 open reading frame 53"	"C14orf53"
"215877_PM_at"	"215877_PM_at"	"AK024445"	"chromosome 14 open reading frame 56"	"C14orf56"
"1559097_PM_at"	"1559097_PM_at"	"AK091668"	"chromosome 14 open reading frame 64"	"C14orf64"
"237765_PM_at"	"237765_PM_at"	"AA677293"	"chromosome 14 open reading frame 68"	"C14orf68"
"1560198_PM_at"	"1560198_PM_at"	"AV701600"	"chromosome 14 open reading frame 70"	"C14orf70"
"230677_PM_at"	"230677_PM_at"	"AW006941"	"chromosome 14 open reading frame 73"	"C14orf73"
"213512_PM_at"	"213512_PM_at"	"BF109941"	"chromosome 14 open reading frame 79"	"C14orf79"
"228558_PM_at"	"228558_PM_at"	"AL518291"	"chromosome 14 open reading frame 80"	"C14orf80"
"1564499_PM_at"	"1564499_PM_at"	"AK056731"	"chromosome 14 open reading frame 81"	"C14orf81"
"233106_PM_at"	"233106_PM_at"	"AU148054"	"chromosome 14 open reading frame 82"	"C14orf82"
"1557211_PM_a_at"	"1557211_PM_a_at"	"BC037859"	"chromosome 14 open reading frame 86"	"C14orf86"
"1570162_PM_at"	"1570162_PM_at"	"AF113687"	"chromosome 14 open reading frame 91"	"C14orf91"
"219009_PM_at"	"219009_PM_at"	"NM_021944"	"chromosome 14 open reading frame 93"	"C14orf93"
"224798_PM_s_at"	"224798_PM_s_at"	"AI079857"	"chromosome 15 open reading frame 17"	"C15orf17"
"221300_PM_at"	"221300_PM_at"	"NM_018958"	"chromosome 15 open reading frame 2"	"C15orf2"
"242649_PM_x_at"	"242649_PM_x_at"	"AI928428"	"Dresden prostate cancer 2"	"C15orf21"
"225300_PM_at"	"225300_PM_at"	"BF792864"	"chromosome 15 open reading frame 23"	"C15orf23"
"217898_PM_at"	"217898_PM_at"	"NM_020154"	"chromosome 15 open reading frame 24"	"C15orf24"
"1552950_PM_at"	"1552950_PM_at"	"NM_173528"	"chromosome 15 open reading frame 26"	"C15orf26"
"1552400_PM_a_at"	"1552400_PM_a_at"	"NM_152335"	"chromosome 15 open reading frame 27"	"C15orf27"
"220710_PM_at"	"220710_PM_at"	"NM_024970"	"chromosome 15 open reading frame 28"	"C15orf28"
"1559658_PM_at"	"1559658_PM_at"	"BC037234"	"chromosome 15 open reading frame 29"	"C15orf29"
"1553482_PM_at"	"1553482_PM_at"	"NM_153040"	"chromosome 15 open reading frame 32"	"C15orf32"
"1553799_PM_at"	"1553799_PM_at"	"NM_152647"	"chromosome 15 open reading frame 33"	"C15orf33"
"220718_PM_at"	"220718_PM_at"	"NM_025005"	"chromosome 15 open reading frame 34"	"C15orf34"
"1556588_PM_at"	"1556588_PM_at"	"AK091107"	"chromosome 15 open reading frame 37"	"C15orf37"
"217548_PM_at"	"217548_PM_at"	"AA491625"	"Chromosome 15 open reading frame 38"	"C15orf38"
